Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive, Current week","West Nile virus disease§, Neuroinvasive, Current week, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive, Cum 2016","West Nile virus disease§, Neuroinvasive, Cum 2016, flag","West Nile virus disease§, Neuroinvasive, Cum 2015","West Nile virus disease§, Neuroinvasive, Cum 2015, flag","West Nile virus disease§, Nonneuroinvasiveś, Current week","West Nile virus disease§, Nonneuroinvasiveś, Current week, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015, flag",Location 1,Location 2
NEW MEXICO,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-106.244402', 'needs_recoding': False, 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
UTAH,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-111.584173', 'needs_recoding': False, 'latitude': '39.359772', 'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}'}",
WYOMING,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-108.110518', 'needs_recoding': False, 'latitude': '43.23558', 'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}'}",
PACIFIC,2016,1,,-,0,,53,,,-,,-,,-,0,,24,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-147.738891', 'needs_recoding': False, 'latitude': '64.836661', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}'}",
CALIFORNIA,2016,1,,-,0,,52,,,-,,-,,-,0,,24,,,-,,-,"{'longitude': '-121.002435', 'needs_recoding': False, 'latitude': '37.640735', 'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}'}",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-157.858158', 'needs_recoding': False, 'latitude': '21.30992', 'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}'}",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-120.156945', 'needs_recoding': False, 'latitude': '44.567912', 'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}'}",
WASHINGTON,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-120.467672', 'needs_recoding': False, 'latitude': '47.517368', 'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}'}",
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}'}",
